Maintainer;First public release date;Latest stable version;Latest release date;License;Public issues list
4D (4th Dimension);4D S.A.S.;1984;v16.0;2017-01-10;Proprietary;No
ADABAS;Software AG;1970;8.1;2013-06;Proprietary;No
Adaptive Server Enterprise;SAP AG;1987;16.0 SP03 PL07;2019-06-10;Proprietary;No
Advantage Database Server (ADS);SAP AG;1992;12.0;2015;Proprietary;No
Altibase;Altibase Corp.;2000;7.1.0.1.2;2018-03-02;Proprietary;No
Apache Derby;Apache Software Foundation;2004;10.15.1.3;2019-03-11;Apache License;Yes
ClustrixDB;MariaDB Corporation;2010;v7.0;2015-08-19;Proprietary;No
CockroachDB;Cockroach Labs;2015;v20.2.8;2021-04-23;BSL, CCL, MIT, BSD;Yes
CUBRID;CUBRID;2008-11;11.2.3;2023-01-31;Apache License 2.0, BSD license for APIs and GUI tools;Yes
Datacom;CA, Inc.;Early 70s;14;2012;Proprietary;No
IBM Db2;IBM;1983;;;"Proprietary";"No"
Empress Embedded Database;Empress Software Inc;1979;10.20;2010-03;Proprietary;No
Exasol;EXASOL AG;2004;7.1.1;2021-09-15;Proprietary;No
FileMaker;FileMaker, Inc., an Apple subsidiary;"1985-04";19;2020-05-20;Proprietary;No
Firebird;Firebird project;"2000-07-25";;;IPL, IDPL;Yes
GPUdb;GIS Federal;2014;3.2.5;2015-01-14;Proprietary;No
HSQLDB;HSQL Development Group;2001;2.6.1;2021-10-21;BSD;Yes
H2;H2 Software;2005;2.1.214;2022-06-13;EPL, MPL;Yes
Informix Dynamic Server;IBM / HCL Technologies;1980;14.10.xC9;2022-10-03;Proprietary;No
Ingres;Actian;1974;11.2;2022-05-06;GPL, Proprietary;No
InterBase;Embarcadero;1984;XE7 v12.0.4.357;2015-08-12;Proprietary;No
Linter SQL RDBMS;RELEX Group;1990;6.0.17.53;2018-02-15;Proprietary;Yes
LucidDB;The Eigenbase Project;"2007-01";0.9.4;2012-01-05;GPL v2;No
MariaDB;MariaDB Community;"2010-02-01";;;GPL v2;Yes
MaxDB;SAP AG;"2003-05";7.9.0.8;2014;Proprietary;Yes
SingleStore (formerly MemSQL);SingleStore;2012-06;7.1.11;2020-10-12;Proprietary;No
Microsoft Access (JET);Microsoft;1992;16 (2016);2015-09-22;Proprietary;No
Microsoft Visual Foxpro;Microsoft;1984;9 (2005);2007-10-11;Proprietary;No
Microsoft SQL Server;Microsoft;1989;;;"Proprietary";"No"
Microsoft SQL Server Compact (Embedded Database);Microsoft;2000;"2011 (v4.0)";;"Proprietary";"No"
Mimer SQL;Mimer Information Technology;1978;11.0.7G;2023-06-09;Proprietary;No
MonetDB;The MonetDB Team / CWI;2004;"Jun2023";2023-06-29;Mozilla Public License, version 2.0;Yes
mSQL;Hughes Technologies;1994;4.1;2017-06-30;Proprietary;No
MySQL;Oracle Corporation;"1995-11";;;GPL v2, Proprietary;Yes
NexusDB;NexusDB Pty Ltd;2003;4.00.14;2015-06-25;Proprietary;No
HPE NonStop SQL;Hewlett Packard Enterprise;1987;SQL/MX 3.4;;Proprietary;No
NuoDB;NuoDB;2013;4.1;2020-08;Proprietary;No
Omnis Studio;TigerLogic Inc;"1982-07";"6.1.3 Release 1no";"2015-12";Proprietary;No
OpenEdge;Progress Software Corporation;1984;11.6.3;2016-08-19;Proprietary;No
OpenLink Virtuoso;OpenLink Software;1998;7.2.5.1;2018-08-15;GPL v2, Proprietary;Yes
Oracle DB;Oracle Corporation;"1979-11";;;"Proprietary";"No"
Oracle Rdb;Oracle Corporation;1984;"Oracle Rdb version";"Oracle Rdb version|releasedate";"Proprietary";"No"
Paradox;Corel Corporation;1985;11;2009-09-07;Proprietary;No
Percona Server for MySQL;Percona;2006;"Percona Server for MySQL version";"Percona Server for MySQL version|releasedate";GPL v2;Yes
Actian Zen (PSQL);Actian;1982;v15;2021;Proprietary;No
Polyhedra DBMS;ENEA AB;1993;9.0;2015-06-24;Proprietary, with Polyhedra Lite available as Freeware;No
PostgreSQL;PostgreSQL Global Development Group;"1989-06";;;Postgres License;No
R:Base;R:BASE Technologies;1982;10.0;2016-05-26;Proprietary;No
Raima Database Manager;Raima Inc.;1984;15.2;2022-02-28;Proprietary;No
RDM Server;Raima Inc.;1993;8.4;2012
